iter	Passed	Remaining
186	3449	14994
187	3465	14967
188	3482	14942
189	3498	14915
190	3515	14891
191	3532	14865
192	3548	14838
193	3563	14806
194	3580	14780
195	3596	14752
196	3613	14730
197	3630	14703
198	3645	14673
199	3661	14644
200	3677	14619
201	3693	14590
202	3709	14565
203	3727	14543
204	3743	14517
205	3759	14491
206	3777	14471
207	3795	14450
208	3812	14429
209	3830	14409
210	3845	14379
211	3862	14355
212	3878	14331
213	3895	14306
214	3910	14279
215	3927	14254
216	3942	14225
217	3957	14196
218	3974	14174
219	3991	14151
220	4009	14131
221	4024	14104
222	4044	14090
223	4060	14066
224	4077	14043
225	4094	14021
226	4112	14005
227	4131	13990
228	4148	13967
229	4167	13951
230	4183	13927
231	4201	13909
232	4222	13898
233	4238	13876
234	4256	13856
235	4273	13833
236	4290	13813
237	4306	13788
238	4323	13766
239	4339	13743
240	4356	13719
241	4372	13694
242	4387	13667
243	4404	13646
244	4421	13623
245	4438	13602
246	4453	13577
247	4470	13557
248	4487	13534
249	4506	13519
250	4523	13498
251	4538	13472
252	4554	13448
253	4570	13424
254	4588	13405
255	4604	13381
256	4622	13363
257	4637	13337
258	4653	13313
259	4669	13289
260	4686	13268
261	4704	13251
262	4723	13237
263	4738	13209
264	4755	13189
265	4772	13170
266	4790	13151
267	4807	13131
268	4824	13109
269	4838	13082
270	4857	13068
271	4873	13044
272	4889	13020
273	4905	12998
274	4923	12979
275	4940	12959
276	4955	12935
277	4973	12917
278	4989	12895
279	5009	12880
280	5023	12854
281	5039	12832
282	5055	12808
283	5073	12791
284	5088	12765
285	5106	12748
286	5121	12723
287	5136	12699
288	5152	12675
289	5170	12657
290	5186	12637
291	5202	12615
292	5219	12593
293	5235	12572
294	5253	12554
295	5272	12540
296	5291	12524
297	5307	12502
298	5324	12482
299	5339	12459
300	5355	12437
301	5372	12416
302	5388	12394
303	5403	12372
304	5419	12349
305	5437	12331
306	5451	12306
307	5470	12290
308	5485	12267
309	5502	12247
310	5519	12227
311	5534	12204
312	5554	12192
313	5572	12175
314	5589	12155
315	5605	12134
316	5622	12114
317	5638	12092
318	5655	12074
319	5671	12052
320	5688	12032
321	5704	12010
322	5721	11991
323	5738	11972
324	5752	11948
325	5769	11928
326	5784	11904
327	5800	11883
328	5818	11866
329	5833	11844
330	5849	11822
331	5864	11800
332	5879	11776
333	5896	11756
334	5911	11734
335	5927	11713
336	5943	11692
337	5963	11679
338	5981	11662
339	5996	11641
340	6015	11624
341	6031	11605
342	6049	11586
343	6063	11563
344	6080	11543
345	6098	11526
346	6114	11507
347	6129	11484
348	6146	11465
349	6162	11445
350	6179	11426
351	6195	11405
352	6211	11385
353	6227	11363
354	6243	11343
355	6257	11320
356	6275	11302
357	6291	11282
358	6307	11262
359	6325	11245
360	6341	11225
361	6358	11206
362	6374	11186
363	6394	11172
364	6408	11148
365	6426	11131
366	6441	11109
367	6457	11090
368	6473	11069
369	6489	11050
370	6507	11032
371	6522	11011
372	6539	10992
373	6557	10976
374	6574	10957
375	6588	10933
376	6608	10921
377	6624	10900
378	6642	10883
379	6656	10860
380	6675	10844
381	6689	10821
382	6708	10806
383	6724	10787
384	6741	10768
385	6757	10749
386	6774	10730
387	6790	10711
388	6806	10691
389	6825	10676
390	6842	10656
391	6858	10638
392	6880	10626
393	6896	10607
394	6913	10588
395	6929	10569
396	6947	10551
397	6965	10535
398	6980	10514
399	6998	10497
400	7013	10475
401	7032	10461
402	7047	10439
